X,Y,fid,CD_MUN,NM_MUN,SIGLA_UF,AREA_KM2,Densidade,CE População_POPULAÇÃO ESTIMADA,icon_url
-39.0368247483709,-7.36057395873627,"1","2300101",Abaiara,CE,180.833,"66","11853",./0.png
-38.6621248800614,-4.21683204957021,"2","2300150",Acarape,CE,130.002,"116","15036",./0.png
-40.0881332918056,-2.9678978275058,"3","2300200",Acaraú,CE,842.471,"75","63104",./1.png
-39.4938418139884,-6.12203061277241,"4","2300309",Acopiara,CE,2254.279,"24","54481",./1.png
-40.298585051249,-6.60514659114239,"5","2300408",Aiuaba,CE,2438.563,"7","17493",./0.png
-40.543017850089,-3.59226484839091,"6","2300507",Alcântaras,CE,135.76,"87","11781",./0.png
-39.6992973712304,-6.98561466496676,"7","2300606",Altaneira,CE,72.675,"105","7650",./0.png
-38.1986403078737,-5.51668496183502,"8","2300705",Alto Santo,CE,1345.701,"13","17196",./0.png
-39.7851849035502,-3.23960058649662,"9","2300754",Amontada,CE,1175.044,"37","43829",./0.png
-39.9812731073313,-6.75648677445673,"10","2300804",Antonina do Norte,CE,259.706,"28","7378",./0.png
-39.3306981031332,-3.96831592053901,"11","2300903",Apuiarés,CE,543.98,"27","14672",./0.png
-38.3940807346216,-3.97657008142248,"12","2301000",Aquiraz,CE,480.236,"169","80935",./1.png
-37.6855052751125,-4.68098247430482,"13","2301109",Aracati,CE,1227.197,"61","74975",./1.png
-38.71346302265,-4.48296440663971,"14","2301208",Aracoiaba,CE,643.988,"41","26535",./0.png
-40.7462324048386,-4.77296285501115,"15","2301257",Ararendá,CE,342.301,"32","10959",./0.png
-40.0765429340575,-7.23928473179762,"16","2301307",Araripe,CE,1097.339,"20","21654",./0.png
-39.0249524574889,-4.41733258556497,"17","2301406",Aratuba,CE,119.758,"99","11802",./0.png
-40.1549453430901,-6.23936341469103,"18","2301505",Arneiroz,CE,1068.437,"7","7844",./0.png
-39.8692328824947,-6.90963474154126,"19","2301604",Assaré,CE,1155.124,"20","23478",./0.png
-38.969124336768,-6.98891323128752,"20","2301703",Aurora,CE,885.87,"28","24610",./0.png
-38.753034025487,-6.71144891449899,"21","2301802",Baixio,CE,145.556,"43","6303",./0.png
-38.9036443145382,-5.26220467665582,"22","2301851",Banabuiú,CE,1080.986,"17","18256",./0.png
-39.3445700561389,-7.40374491602466,"23","2301901",Barbalha,CE,608.158,"101","61228",./1.png
-38.6204815692158,-4.32214344975866,"24","2301950",Barreira,CE,260.003,"87","22573",./0.png
-38.7939142323474,-7.12554079938989,"25","2302008",Barro,CE,711.346,"32","22758",./0.png
-41.1736389924731,-2.97062479992688,"26","2302057",Barroquinha,CE,385.583,"39","15044",./0.png
-38.851001712436,-4.38335742299346,"27","2302107",Baturité,CE,314.075,"114","35941",./0.png
-38.1129070634719,-4.40173056198299,"28","2302206",Beberibe,CE,1596.751,"34","53949",./1.png
-40.3080019106658,-3.05346023946036,"29","2302305",Bela Cruz,CE,842.106,"39","32722",./0.png
-39.8079091762213,-5.08782289027082,"30","2302404",Boa Viagem,CE,2835.037,"19","54577",./1.png
-38.9212576280392,-7.55574008317725,"31","2302503",Brejo Santo,CE,654.658,"76","49842",./0.png
-40.8008911994004,-2.94980680293328,"32","2302602",Camocim,CE,1120.452,"57","63907",./1.png
-40.2713319496918,-6.93672534366346,"33","2302701",Campos Sales,CE,1082.582,"25","27470",./0.png
-39.4303520977474,-4.40211896833312,"34","2302800",Canindé,CE,3032.39,"25","77244",./1.png
-38.9079483662854,-4.46782088044058,"35","2302909",Capistrano,CE,226.549,"79","17786",./0.png
-39.109895913111,-4.20379796843232,"36","2303006",Caridade,CE,926.271,"25","22782",./0.png
-40.5216883812747,-3.95187431450736,"37","2303105",Cariré,CE,755.597,"24","18459",./0.png
-39.2748798943148,-7.02181297666403,"38","2303204",Caririaçu,CE,634.179,"43","26987",./0.png
-39.4641100616617,-6.64200265706622,"39","2303303",Cariús,CE,1036.417,"18","18699",./0.png
-41.0102094257749,-4.1301203182885,"40","2303402",Carnaubal,CE,363.22,"49","17685",./0.png
-38.2970870566923,-4.23908670296957,"41","2303501",Cascavel,CE,838.115,"86","72232",./1.png
-39.9096624411943,-6.25278661763349,"42","2303600",Catarina,CE,488.153,"43","20871",./0.png
-40.1750157057092,-4.6295803521315,"43","2303659",Catunda,CE,784.022,"13","10376",./0.png
-38.8096912622908,-3.78359026588887,"44","2303709",Caucaia,CE,1223.246,"299","365212",./2.png
-39.0931923281252,-6.56974743889333,"45","2303808",Cedro,CE,729.97,"35","25585",./0.png
-41.2325631950498,-3.09264455226529,"46","2303907",Chaval,CE,237.248,"55","13091",./0.png
-39.1910845275203,-4.77231567147357,"47","2303931",Choró,CE,815.268,"17","13565",./0.png
-38.4683382415301,-4.30232643729652,"48","2303956",Chorozinho,CE,296.431,"68","20274",./0.png
-40.7263633926067,-3.64152006001682,"49","2304004",Coreaú,CE,750.332,"31","23239",./0.png
-40.7195774702159,-5.19932483383722,"50","2304103",Crateús,CE,2981.459,"25","75159",./1.png
-39.4899368675994,-7.23564675395914,"51","2304202",Crato,CE,1138.15,"117","133031",./3.png
-40.9751083916995,-4.3877286516608,"52","2304236",Croatá,CE,696.348,"26","18133",./0.png
-40.3232877703619,-2.89653416472426,"53","2304251",Cruz,CE,335.921,"74","24977",./0.png
-39.2661658184825,-5.88703472753022,"54","2304269",Deputado Irapuan Pinheiro,CE,471.134,"21","9662",./0.png
-38.3120311889666,-5.98501413560234,"55","2304277",Ereré,CE,362.906,"20","7225",./0.png
-38.4575989224288,-3.87598116605247,"56","2304285",Eusébio,CE,78.818,"689","54337",./1.png
-39.5490682983272,-6.90945502076048,"57","2304301",Farias Brito,CE,530.54,"37","19389",./0.png
-40.2254730842248,-3.8223540250824,"58","2304350",Forquilha,CE,568.778,"43","24452",./0.png
-38.5280006479704,-3.78583285505067,"59","2304400",Fortaleza,CE,312.353,"8601","2686612",./4.png
